Participant_ID,Visual_Factor,Auditory_Factor,Haptic_Factor,n,have,retention_rate
1,Baseline,No,No,1,1,1
1,Baseline,No,Yes,1,1,1
1,Baseline,Yes,No,1,1,1
1,Baseline,Yes,Yes,1,1,1
1,Flashing,No,No,1,1,1
1,Flashing,No,Yes,1,1,1
1,Flashing,Yes,No,1,1,1
1,Flashing,Yes,Yes,1,1,1
1,Transparent,No,No,1,1,1
1,Transparent,No,Yes,1,1,1
1,Transparent,Yes,No,1,1,1
1,Transparent,Yes,Yes,1,1,1
1,Transparent_Flashing,No,No,1,1,1
1,Transparent_Flashing,No,Yes,1,1,1
1,Transparent_Flashing,Yes,No,1,1,1
1,Transparent_Flashing,Yes,Yes,1,1,1
2,Baseline,No,No,1,1,1
2,Baseline,No,Yes,1,1,1
2,Baseline,Yes,No,1,1,1
2,Baseline,Yes,Yes,1,1,1
2,Flashing,No,No,1,1,1
2,Flashing,No,Yes,1,1,1
2,Flashing,Yes,No,1,1,1
2,Flashing,Yes,Yes,1,1,1
2,Transparent,No,No,1,1,1
2,Transparent,No,Yes,1,1,1
2,Transparent,Yes,No,1,1,1
2,Transparent,Yes,Yes,1,1,1
2,Transparent_Flashing,No,No,1,1,1
2,Transparent_Flashing,No,Yes,1,1,1
2,Transparent_Flashing,Yes,No,1,1,1
2,Transparent_Flashing,Yes,Yes,1,1,1
3,Baseline,No,No,1,1,1
3,Baseline,No,Yes,1,0,0
3,Baseline,Yes,No,1,0,0
3,Baseline,Yes,Yes,1,1,1
3,Flashing,No,No,1,1,1
3,Flashing,No,Yes,1,1,1
3,Flashing,Yes,No,1,1,1
3,Flashing,Yes,Yes,1,0,0
3,Transparent,No,No,1,1,1
3,Transparent,No,Yes,1,0,0
3,Transparent,Yes,No,1,1,1
3,Transparent,Yes,Yes,1,1,1
3,Transparent_Flashing,No,No,1,1,1
3,Transparent_Flashing,No,Yes,1,1,1
3,Transparent_Flashing,Yes,No,1,1,1
3,Transparent_Flashing,Yes,Yes,1,1,1
4,Baseline,No,No,1,1,1
4,Baseline,No,Yes,1,1,1
4,Baseline,Yes,No,1,1,1
4,Baseline,Yes,Yes,1,0,0
4,Flashing,No,No,1,1,1
4,Flashing,No,Yes,1,1,1
4,Flashing,Yes,No,1,1,1
4,Flashing,Yes,Yes,1,1,1
4,Transparent,No,No,1,1,1
4,Transparent,No,Yes,1,1,1
4,Transparent,Yes,No,1,1,1
4,Transparent,Yes,Yes,1,1,1
4,Transparent_Flashing,No,No,1,1,1
4,Transparent_Flashing,No,Yes,1,1,1
4,Transparent_Flashing,Yes,No,1,1,1
4,Transparent_Flashing,Yes,Yes,1,1,1
5,Baseline,No,No,1,1,1
5,Baseline,No,Yes,1,1,1
5,Baseline,Yes,No,1,1,1
5,Baseline,Yes,Yes,1,1,1
5,Flashing,No,No,1,1,1
5,Flashing,No,Yes,1,1,1
5,Flashing,Yes,No,1,1,1
5,Flashing,Yes,Yes,1,1,1
5,Transparent,No,No,1,1,1
5,Transparent,No,Yes,1,1,1
5,Transparent,Yes,No,1,1,1
5,Transparent,Yes,Yes,1,1,1
5,Transparent_Flashing,No,No,1,1,1
5,Transparent_Flashing,No,Yes,1,1,1
5,Transparent_Flashing,Yes,No,1,1,1
5,Transparent_Flashing,Yes,Yes,1,1,1
6,Baseline,No,No,1,1,1
6,Baseline,No,Yes,1,1,1
6,Baseline,Yes,No,1,1,1
6,Baseline,Yes,Yes,1,0,0
6,Flashing,No,No,1,0,0
6,Flashing,No,Yes,1,1,1
6,Flashing,Yes,No,1,0,0
6,Flashing,Yes,Yes,1,1,1
6,Transparent,No,No,1,1,1
6,Transparent,No,Yes,1,1,1
6,Transparent,Yes,No,1,0,0
6,Transparent,Yes,Yes,1,1,1
6,Transparent_Flashing,No,No,1,1,1
6,Transparent_Flashing,No,Yes,1,1,1
6,Transparent_Flashing,Yes,No,1,0,0
6,Transparent_Flashing,Yes,Yes,1,0,0
7,Baseline,No,No,1,1,1
7,Baseline,No,Yes,1,1,1
7,Baseline,Yes,No,1,1,1
7,Baseline,Yes,Yes,1,1,1
7,Flashing,No,No,1,1,1
7,Flashing,No,Yes,1,1,1
7,Flashing,Yes,No,1,1,1
7,Flashing,Yes,Yes,1,1,1
7,Transparent,No,No,1,1,1
7,Transparent,No,Yes,1,1,1
7,Transparent,Yes,No,1,1,1
7,Transparent,Yes,Yes,1,1,1
7,Transparent_Flashing,No,No,1,1,1
7,Transparent_Flashing,No,Yes,1,1,1
7,Transparent_Flashing,Yes,No,1,1,1
7,Transparent_Flashing,Yes,Yes,1,1,1
8,Baseline,No,No,1,1,1
8,Baseline,No,Yes,1,1,1
8,Baseline,Yes,No,1,1,1
8,Baseline,Yes,Yes,1,1,1
8,Flashing,No,No,1,1,1
8,Flashing,No,Yes,1,1,1
8,Flashing,Yes,No,1,1,1
8,Flashing,Yes,Yes,1,0,0
8,Transparent,No,No,1,1,1
8,Transparent,No,Yes,1,1,1
8,Transparent,Yes,No,1,1,1
8,Transparent,Yes,Yes,1,1,1
8,Transparent_Flashing,No,No,1,1,1
8,Transparent_Flashing,No,Yes,1,1,1
8,Transparent_Flashing,Yes,No,1,1,1
8,Transparent_Flashing,Yes,Yes,1,1,1
9,Baseline,No,No,1,0,0
9,Baseline,No,Yes,1,1,1
9,Baseline,Yes,No,1,0,0
9,Baseline,Yes,Yes,1,1,1
9,Flashing,No,No,1,1,1
9,Flashing,No,Yes,1,1,1
9,Flashing,Yes,No,1,0,0
9,Flashing,Yes,Yes,1,1,1
9,Transparent,No,No,1,1,1
9,Transparent,No,Yes,1,0,0
9,Transparent,Yes,No,1,1,1
9,Transparent,Yes,Yes,1,1,1
9,Transparent_Flashing,No,No,1,1,1
9,Transparent_Flashing,No,Yes,1,1,1
9,Transparent_Flashing,Yes,No,1,0,0
9,Transparent_Flashing,Yes,Yes,1,0,0
10,Baseline,No,No,1,1,1
10,Baseline,No,Yes,1,0,0
10,Baseline,Yes,No,1,1,1
10,Baseline,Yes,Yes,1,1,1
10,Flashing,No,No,1,1,1
10,Flashing,No,Yes,1,1,1
10,Flashing,Yes,No,1,0,0
10,Flashing,Yes,Yes,1,0,0
10,Transparent,No,No,1,1,1
10,Transparent,No,Yes,1,1,1
10,Transparent,Yes,No,1,0,0
10,Transparent,Yes,Yes,1,1,1
10,Transparent_Flashing,No,No,1,1,1
10,Transparent_Flashing,No,Yes,1,1,1
10,Transparent_Flashing,Yes,No,1,0,0
10,Transparent_Flashing,Yes,Yes,1,1,1
11,Baseline,No,No,1,1,1
11,Baseline,No,Yes,1,0,0
11,Baseline,Yes,No,1,0,0
11,Baseline,Yes,Yes,1,1,1
11,Flashing,No,No,1,1,1
11,Flashing,No,Yes,1,0,0
11,Flashing,Yes,No,1,1,1
11,Flashing,Yes,Yes,1,0,0
11,Transparent,No,No,1,1,1
11,Transparent,No,Yes,1,1,1
11,Transparent,Yes,No,1,0,0
11,Transparent,Yes,Yes,1,0,0
11,Transparent_Flashing,No,No,1,1,1
11,Transparent_Flashing,No,Yes,1,1,1
11,Transparent_Flashing,Yes,No,1,1,1
11,Transparent_Flashing,Yes,Yes,1,0,0
12,Baseline,No,No,1,1,1
12,Baseline,No,Yes,1,1,1
12,Baseline,Yes,No,1,1,1
12,Baseline,Yes,Yes,1,1,1
12,Flashing,No,No,1,1,1
12,Flashing,No,Yes,1,1,1
12,Flashing,Yes,No,1,1,1
12,Flashing,Yes,Yes,1,1,1
12,Transparent,No,No,1,1,1
12,Transparent,No,Yes,1,1,1
12,Transparent,Yes,No,1,1,1
12,Transparent,Yes,Yes,1,1,1
12,Transparent_Flashing,No,No,1,1,1
12,Transparent_Flashing,No,Yes,1,1,1
12,Transparent_Flashing,Yes,No,1,1,1
12,Transparent_Flashing,Yes,Yes,1,1,1
13,Baseline,No,No,1,1,1
13,Baseline,No,Yes,1,1,1
13,Baseline,Yes,No,1,1,1
13,Baseline,Yes,Yes,1,0,0
13,Flashing,No,No,1,1,1
13,Flashing,No,Yes,1,1,1
13,Flashing,Yes,No,1,1,1
13,Flashing,Yes,Yes,1,1,1
13,Transparent,No,No,1,1,1
13,Transparent,No,Yes,1,1,1
13,Transparent,Yes,No,1,1,1
13,Transparent,Yes,Yes,1,0,0
13,Transparent_Flashing,No,No,1,1,1
13,Transparent_Flashing,No,Yes,1,1,1
13,Transparent_Flashing,Yes,No,1,1,1
13,Transparent_Flashing,Yes,Yes,1,1,1
14,Baseline,No,No,1,1,1
14,Baseline,No,Yes,1,0,0
14,Baseline,Yes,No,1,0,0
14,Baseline,Yes,Yes,1,1,1
14,Flashing,No,No,1,1,1
14,Flashing,No,Yes,1,1,1
14,Flashing,Yes,No,1,0,0
14,Flashing,Yes,Yes,1,1,1
14,Transparent,No,No,1,1,1
14,Transparent,No,Yes,1,1,1
14,Transparent,Yes,No,1,0,0
14,Transparent,Yes,Yes,1,1,1
14,Transparent_Flashing,No,No,1,1,1
14,Transparent_Flashing,No,Yes,1,1,1
14,Transparent_Flashing,Yes,No,1,0,0
14,Transparent_Flashing,Yes,Yes,1,0,0
15,Baseline,No,No,1,1,1
15,Baseline,No,Yes,1,1,1
15,Baseline,Yes,No,1,1,1
15,Baseline,Yes,Yes,1,1,1
15,Flashing,No,No,1,1,1
15,Flashing,No,Yes,1,1,1
15,Flashing,Yes,No,1,1,1
15,Flashing,Yes,Yes,1,1,1
15,Transparent,No,No,1,1,1
15,Transparent,No,Yes,1,1,1
15,Transparent,Yes,No,1,1,1
15,Transparent,Yes,Yes,1,1,1
15,Transparent_Flashing,No,No,1,1,1
15,Transparent_Flashing,No,Yes,1,1,1
15,Transparent_Flashing,Yes,No,1,1,1
15,Transparent_Flashing,Yes,Yes,1,1,1
16,Baseline,No,No,1,1,1
16,Baseline,No,Yes,1,1,1
16,Baseline,Yes,No,1,0,0
16,Baseline,Yes,Yes,1,0,0
16,Flashing,No,No,1,1,1
16,Flashing,No,Yes,1,1,1
16,Flashing,Yes,No,1,1,1
16,Flashing,Yes,Yes,1,0,0
16,Transparent,No,No,1,1,1
16,Transparent,No,Yes,1,1,1
16,Transparent,Yes,No,1,1,1
16,Transparent,Yes,Yes,1,0,0
16,Transparent_Flashing,No,No,1,1,1
16,Transparent_Flashing,No,Yes,1,1,1
16,Transparent_Flashing,Yes,No,1,1,1
16,Transparent_Flashing,Yes,Yes,1,1,1
17,Baseline,No,No,1,1,1
17,Baseline,No,Yes,1,1,1
17,Baseline,Yes,No,1,1,1
17,Baseline,Yes,Yes,1,1,1
17,Flashing,No,No,1,1,1
17,Flashing,No,Yes,1,1,1
17,Flashing,Yes,No,1,1,1
17,Flashing,Yes,Yes,1,1,1
17,Transparent,No,No,1,1,1
17,Transparent,No,Yes,1,1,1
17,Transparent,Yes,No,1,1,1
17,Transparent,Yes,Yes,1,1,1
17,Transparent_Flashing,No,No,1,1,1
17,Transparent_Flashing,No,Yes,1,1,1
17,Transparent_Flashing,Yes,No,1,1,1
17,Transparent_Flashing,Yes,Yes,1,1,1
18,Baseline,No,No,1,1,1
18,Baseline,No,Yes,1,0,0
18,Baseline,Yes,No,1,0,0
18,Baseline,Yes,Yes,1,1,1
18,Flashing,No,No,1,1,1
18,Flashing,No,Yes,1,0,0
18,Flashing,Yes,No,1,0,0
18,Flashing,Yes,Yes,1,0,0
18,Transparent,No,No,1,1,1
18,Transparent,No,Yes,1,0,0
18,Transparent,Yes,No,1,0,0
18,Transparent,Yes,Yes,1,0,0
18,Transparent_Flashing,No,No,1,0,0
18,Transparent_Flashing,No,Yes,1,1,1
18,Transparent_Flashing,Yes,No,1,0,0
18,Transparent_Flashing,Yes,Yes,1,0,0
19,Baseline,No,No,1,1,1
19,Baseline,No,Yes,1,1,1
19,Baseline,Yes,No,1,0,0
19,Baseline,Yes,Yes,1,0,0
19,Flashing,No,No,1,1,1
19,Flashing,No,Yes,1,1,1
19,Flashing,Yes,No,1,1,1
19,Flashing,Yes,Yes,1,1,1
19,Transparent,No,No,1,1,1
19,Transparent,No,Yes,1,1,1
19,Transparent,Yes,No,1,1,1
19,Transparent,Yes,Yes,1,1,1
19,Transparent_Flashing,No,No,1,1,1
19,Transparent_Flashing,No,Yes,1,1,1
19,Transparent_Flashing,Yes,No,1,1,1
19,Transparent_Flashing,Yes,Yes,1,0,0
20,Baseline,No,No,1,1,1
20,Baseline,No,Yes,1,1,1
20,Baseline,Yes,No,1,0,0
20,Baseline,Yes,Yes,1,1,1
20,Flashing,No,No,1,1,1
20,Flashing,No,Yes,1,0,0
20,Flashing,Yes,No,1,1,1
20,Flashing,Yes,Yes,1,1,1
20,Transparent,No,No,1,1,1
20,Transparent,No,Yes,1,1,1
20,Transparent,Yes,No,1,1,1
20,Transparent,Yes,Yes,1,1,1
20,Transparent_Flashing,No,No,1,1,1
20,Transparent_Flashing,No,Yes,1,1,1
20,Transparent_Flashing,Yes,No,1,1,1
20,Transparent_Flashing,Yes,Yes,1,1,1
21,Baseline,No,No,1,1,1
21,Baseline,No,Yes,1,1,1
21,Baseline,Yes,No,1,1,1
21,Baseline,Yes,Yes,1,1,1
21,Flashing,No,No,1,1,1
21,Flashing,No,Yes,1,1,1
21,Flashing,Yes,No,1,1,1
21,Flashing,Yes,Yes,1,1,1
21,Transparent,No,No,1,1,1
21,Transparent,No,Yes,1,1,1
21,Transparent,Yes,No,1,1,1
21,Transparent,Yes,Yes,1,1,1
21,Transparent_Flashing,No,No,1,1,1
21,Transparent_Flashing,No,Yes,1,1,1
21,Transparent_Flashing,Yes,No,1,1,1
21,Transparent_Flashing,Yes,Yes,1,1,1
22,Baseline,No,No,1,0,0
22,Baseline,No,Yes,1,0,0
22,Baseline,Yes,No,1,1,1
22,Baseline,Yes,Yes,1,1,1
22,Flashing,No,No,1,1,1
22,Flashing,No,Yes,1,1,1
22,Flashing,Yes,No,1,1,1
22,Flashing,Yes,Yes,1,0,0
22,Transparent,No,No,1,1,1
22,Transparent,No,Yes,1,0,0
22,Transparent,Yes,No,1,1,1
22,Transparent,Yes,Yes,1,1,1
22,Transparent_Flashing,No,No,1,0,0
22,Transparent_Flashing,No,Yes,1,1,1
22,Transparent_Flashing,Yes,No,1,1,1
22,Transparent_Flashing,Yes,Yes,1,1,1
23,Baseline,No,No,1,1,1
23,Baseline,No,Yes,1,1,1
23,Baseline,Yes,No,1,1,1
23,Baseline,Yes,Yes,1,1,1
23,Flashing,No,No,1,1,1
23,Flashing,No,Yes,1,1,1
23,Flashing,Yes,No,1,1,1
23,Flashing,Yes,Yes,1,1,1
23,Transparent,No,No,1,1,1
23,Transparent,No,Yes,1,1,1
23,Transparent,Yes,No,1,1,1
23,Transparent,Yes,Yes,1,1,1
23,Transparent_Flashing,No,No,1,1,1
23,Transparent_Flashing,No,Yes,1,1,1
23,Transparent_Flashing,Yes,No,1,1,1
23,Transparent_Flashing,Yes,Yes,1,1,1
24,Baseline,No,No,1,1,1
24,Baseline,No,Yes,1,1,1
24,Baseline,Yes,No,1,1,1
24,Baseline,Yes,Yes,1,1,1
24,Flashing,No,No,1,1,1
24,Flashing,No,Yes,1,1,1
24,Flashing,Yes,No,1,1,1
24,Flashing,Yes,Yes,1,1,1
24,Transparent,No,No,1,1,1
24,Transparent,No,Yes,1,1,1
24,Transparent,Yes,No,1,1,1
24,Transparent,Yes,Yes,1,1,1
24,Transparent_Flashing,No,No,1,1,1
24,Transparent_Flashing,No,Yes,1,1,1
24,Transparent_Flashing,Yes,No,1,1,1
24,Transparent_Flashing,Yes,Yes,1,1,1
25,Baseline,No,No,1,1,1
25,Baseline,No,Yes,1,1,1
25,Baseline,Yes,No,1,1,1
25,Baseline,Yes,Yes,1,1,1
25,Flashing,No,No,1,1,1
25,Flashing,No,Yes,1,1,1
25,Flashing,Yes,No,1,1,1
25,Flashing,Yes,Yes,1,1,1
25,Transparent,No,No,1,1,1
25,Transparent,No,Yes,1,1,1
25,Transparent,Yes,No,1,1,1
25,Transparent,Yes,Yes,1,1,1
25,Transparent_Flashing,No,No,1,1,1
25,Transparent_Flashing,No,Yes,1,1,1
25,Transparent_Flashing,Yes,No,1,1,1
25,Transparent_Flashing,Yes,Yes,1,1,1
26,Baseline,No,No,1,1,1
26,Baseline,No,Yes,1,1,1
26,Baseline,Yes,No,1,1,1
26,Baseline,Yes,Yes,1,1,1
26,Flashing,No,No,1,1,1
26,Flashing,No,Yes,1,1,1
26,Flashing,Yes,No,1,1,1
26,Flashing,Yes,Yes,1,1,1
26,Transparent,No,No,1,1,1
26,Transparent,No,Yes,1,1,1
26,Transparent,Yes,No,1,1,1
26,Transparent,Yes,Yes,1,1,1
26,Transparent_Flashing,No,No,1,1,1
26,Transparent_Flashing,No,Yes,1,1,1
26,Transparent_Flashing,Yes,No,1,1,1
26,Transparent_Flashing,Yes,Yes,1,1,1
27,Baseline,No,No,1,1,1
27,Baseline,No,Yes,1,1,1
27,Baseline,Yes,No,1,1,1
27,Baseline,Yes,Yes,1,1,1
27,Flashing,No,No,1,1,1
27,Flashing,No,Yes,1,1,1
27,Flashing,Yes,No,1,1,1
27,Flashing,Yes,Yes,1,1,1
27,Transparent,No,No,1,1,1
27,Transparent,No,Yes,1,1,1
27,Transparent,Yes,No,1,1,1
27,Transparent,Yes,Yes,1,1,1
27,Transparent_Flashing,No,No,1,1,1
27,Transparent_Flashing,No,Yes,1,1,1
27,Transparent_Flashing,Yes,No,1,1,1
27,Transparent_Flashing,Yes,Yes,1,1,1
28,Baseline,No,No,1,1,1
28,Baseline,No,Yes,1,1,1
28,Baseline,Yes,No,1,1,1
28,Baseline,Yes,Yes,1,1,1
28,Flashing,No,No,1,1,1
28,Flashing,No,Yes,1,1,1
28,Flashing,Yes,No,1,1,1
28,Flashing,Yes,Yes,1,1,1
28,Transparent,No,No,1,1,1
28,Transparent,No,Yes,1,1,1
28,Transparent,Yes,No,1,1,1
28,Transparent,Yes,Yes,1,1,1
28,Transparent_Flashing,No,No,1,1,1
28,Transparent_Flashing,No,Yes,1,1,1
28,Transparent_Flashing,Yes,No,1,1,1
28,Transparent_Flashing,Yes,Yes,1,1,1
29,Baseline,No,No,1,1,1
29,Baseline,No,Yes,1,1,1
29,Baseline,Yes,No,1,1,1
29,Baseline,Yes,Yes,1,1,1
29,Flashing,No,No,1,1,1
29,Flashing,No,Yes,1,1,1
29,Flashing,Yes,No,1,1,1
29,Flashing,Yes,Yes,1,1,1
29,Transparent,No,No,1,1,1
29,Transparent,No,Yes,1,1,1
29,Transparent,Yes,No,1,1,1
29,Transparent,Yes,Yes,1,1,1
29,Transparent_Flashing,No,No,1,1,1
29,Transparent_Flashing,No,Yes,1,1,1
29,Transparent_Flashing,Yes,No,1,1,1
29,Transparent_Flashing,Yes,Yes,1,1,1
30,Baseline,No,No,1,1,1
30,Baseline,No,Yes,1,1,1
30,Baseline,Yes,No,1,1,1
30,Baseline,Yes,Yes,1,1,1
30,Flashing,No,No,1,1,1
30,Flashing,No,Yes,1,1,1
30,Flashing,Yes,No,1,1,1
30,Flashing,Yes,Yes,1,1,1
30,Transparent,No,No,1,1,1
30,Transparent,No,Yes,1,0,0
30,Transparent,Yes,No,1,1,1
30,Transparent,Yes,Yes,1,1,1
30,Transparent_Flashing,No,No,1,1,1
30,Transparent_Flashing,No,Yes,1,1,1
30,Transparent_Flashing,Yes,No,1,1,1
30,Transparent_Flashing,Yes,Yes,1,1,1
