condition,score,rank,method,weight
Baseline|No|No,0.2827082355114957,14,EWM,"0.105611194627749,0.148483392489443,0.188096251408436,0.18085699171706,0.156960585272049,0.078580618959038,0.141410965526225"
Flashing|No|No,0.3246261169624011,13,EWM,"0.105611194627749,0.148483392489443,0.188096251408436,0.18085699171706,0.156960585272049,0.078580618959038,0.141410965526225"
Transparent|No|No,0.08436861375650086,16,EWM,"0.105611194627749,0.148483392489443,0.188096251408436,0.18085699171706,0.156960585272049,0.078580618959038,0.141410965526225"
Transparent_Flashing|No|No,0.13811355382309626,15,EWM,"0.105611194627749,0.148483392489443,0.188096251408436,0.18085699171706,0.156960585272049,0.078580618959038,0.141410965526225"
Baseline|Yes|No,0.819166039935749,6,EWM,"0.105611194627749,0.148483392489443,0.188096251408436,0.18085699171706,0.156960585272049,0.078580618959038,0.141410965526225"
Flashing|Yes|No,0.8192688412059629,5,EWM,"0.105611194627749,0.148483392489443,0.188096251408436,0.18085699171706,0.156960585272049,0.078580618959038,0.141410965526225"
Transparent|Yes|No,0.8084710786742912,8,EWM,"0.105611194627749,0.148483392489443,0.188096251408436,0.18085699171706,0.156960585272049,0.078580618959038,0.141410965526225"
Transparent_Flashing|Yes|No,0.8090738259715238,7,EWM,"0.105611194627749,0.148483392489443,0.188096251408436,0.18085699171706,0.156960585272049,0.078580618959038,0.141410965526225"
Baseline|No|Yes,0.6790402551869327,9,EWM,"0.105611194627749,0.148483392489443,0.188096251408436,0.18085699171706,0.156960585272049,0.078580618959038,0.141410965526225"
Flashing|No|Yes,0.6679600371747169,10,EWM,"0.105611194627749,0.148483392489443,0.188096251408436,0.18085699171706,0.156960585272049,0.078580618959038,0.141410965526225"
Transparent|No|Yes,0.5808576793382492,11,EWM,"0.105611194627749,0.148483392489443,0.188096251408436,0.18085699171706,0.156960585272049,0.078580618959038,0.141410965526225"
Transparent_Flashing|No|Yes,0.47612943144471087,12,EWM,"0.105611194627749,0.148483392489443,0.188096251408436,0.18085699171706,0.156960585272049,0.078580618959038,0.141410965526225"
Baseline|Yes|Yes,0.9271503055054354,4,EWM,"0.105611194627749,0.148483392489443,0.188096251408436,0.18085699171706,0.156960585272049,0.078580618959038,0.141410965526225"
Flashing|Yes|Yes,0.9377232889568303,3,EWM,"0.105611194627749,0.148483392489443,0.188096251408436,0.18085699171706,0.156960585272049,0.078580618959038,0.141410965526225"
Transparent|Yes|Yes,0.9457999541518124,1,EWM,"0.105611194627749,0.148483392489443,0.188096251408436,0.18085699171706,0.156960585272049,0.078580618959038,0.141410965526225"
Transparent_Flashing|Yes|Yes,0.943720681148087,2,EWM,"0.105611194627749,0.148483392489443,0.188096251408436,0.18085699171706,0.156960585272049,0.078580618959038,0.141410965526225"
Baseline|No|No,0.3431503492713266,14,Equal,NA
Flashing|No|No,0.3775664883632382,13,Equal,NA
Transparent|No|No,0.13183948503768247,16,Equal,NA
Transparent_Flashing|No|No,0.1380101380327739,15,Equal,NA
Baseline|Yes|No,0.8298145430309576,6,Equal,NA
Flashing|Yes|No,0.8334423585263215,5,Equal,NA
Transparent|Yes|No,0.8023965991440223,8,Equal,NA
Transparent_Flashing|Yes|No,0.8176956036669034,7,Equal,NA
Baseline|No|Yes,0.7022128711172142,9,Equal,NA
Flashing|No|Yes,0.6681116001030448,10,Equal,NA
Transparent|No|Yes,0.6042715595388544,11,Equal,NA
Transparent_Flashing|No|Yes,0.4409109600439004,12,Equal,NA
Baseline|Yes|Yes,0.9351737335486953,4,Equal,NA
Flashing|Yes|Yes,0.93649230680307,3,Equal,NA
Transparent|Yes|Yes,0.9447775255598104,1,Equal,NA
Transparent_Flashing|Yes|Yes,0.9410044402919763,2,Equal,NA
Baseline|No|No,-1.0428863930272074,14,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Flashing|No|No,-0.9157443578168512,13,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Transparent|No|No,-1.6444423187891333,16,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Transparent_Flashing|No|No,-1.5197082277288336,15,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Baseline|Yes|No,0.545749181402744,5,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Flashing|Yes|No,0.5407958811545066,6,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Transparent|Yes|No,0.47101219637538666,8,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Transparent_Flashing|Yes|No,0.5209477366924005,7,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Baseline|No|Yes,0.09389662196106942,9,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Flashing|No|Yes,0.06331657956934483,10,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Transparent|No|Yes,-0.10386262627563576,11,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Transparent_Flashing|No|Yes,-0.5856131690125936,12,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Baseline|Yes|Yes,0.8831129037194584,4,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Flashing|Yes|Yes,0.8846697653522709,3,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Transparent|Yes|Yes,0.9198070266501793,1,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Transparent_Flashing|Yes|Yes,0.8889491997728846,2,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Baseline|No|No,0.5600561702691345,12,ObjectiveOnly,NA
Flashing|No|No,0.5517173580293113,13,ObjectiveOnly,NA
Transparent|No|No,0.22860959273813464,15,ObjectiveOnly,NA
Transparent_Flashing|No|No,0.1435851727458629,16,ObjectiveOnly,NA
Baseline|Yes|No,0.86680294956991355,6,ObjectiveOnly,NA
Flashing|Yes|No,0.9004233404349238,5,ObjectiveOnly,NA
Transparent|Yes|No,0.759878606246257,9,ObjectiveOnly,NA
Transparent_Flashing|Yes|No,0.8527867235283559,7,ObjectiveOnly,NA
Baseline|No|Yes,0.803562123645774,8,ObjectiveOnly,NA
Flashing|No|Yes,0.702897966878222,10,ObjectiveOnly,NA
Transparent|No|Yes,0.6426085690328845,11,ObjectiveOnly,NA
Transparent_Flashing|No|Yes,0.2480438121179693,14,ObjectiveOnly,NA
Baseline|Yes|Yes,0.9348029945014321,1,ObjectiveOnly,NA
Flashing|Yes|Yes,0.9171250272880003,3,ObjectiveOnly,NA
Transparent|Yes|Yes,0.9107497069589459,4,ObjectiveOnly,NA
Transparent_Flashing|Yes|Yes,0.92656827687627,2,ObjectiveOnly,NA
